"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"1" "FBtr0079930" 31.999 33.417 34.986 32.17 25.797 36.654 35.745 35.505 27.734 33.139 31.134 29.615 31.741 34.607 30.588 19.406 32.134 35.589 31.167 36.473 29.691 25.588
"2" "FBtr0079931" 48.237 48.77 39.509 47.75 44.698 39.271 49.979 54.528 44.332 56.003 51.216 50.718 58.209 47.537 55.751 32.172 49.064 46.954 57.616 51.167 48.229 41.889
"3" "FBtr0079932" 45.704 46.868 37.818 45.936 43.493 36.696 48.369 52.301 42.438 54.697 49.442 49.049 56.55 45.053 53.598 32.087 46.508 44.734 55.814 48.929 47.045 40.627
"4" "FBtr0079934" 0.708 1.935 0.466 0.716 0.742 0.237 0.583 0.758 0.73 0.248 0.43 0.474 0.989 1.031 1.786 0.728 1.168 1.493 0.893 0.751 1.789 1.402
"5" "FBtr0079935" 0.076 0.364 0.168 0.426 0.919 0.6 3.294 0.12 1.017 1.294 1.965 1.092 1.579 0.304 0.047 0.736 0.131 0.133 1.854 1.232 1.471 0.794
"6" "FBtr0079938" 4.057 4.595 5.474 4.06 2.959 6.415 3.264 3.358 4.922 5.24 4.033 7.196 2.538 2.017 2.656 0.066 1.346 3.502 3.087 3.909 3.173 3.461
"7" "FBtr0113032" 8.276 8.168 7.248 6.758 5.988 10.28 5.999 7.224 8.011 6.357 6.675 6.736 5.428 7.644 8.009 1.852 8.368 8.648 7.815 6.928 9.423 7.042
"8" "FBtr0079969" 28.383 21.885 25.068 20.292 19.56 25.366 18.49 22.408 24.005 20.025 23.533 19.477 17.923 20.269 19.684 12.995 18.393 22.793 21.734 17.722 20.959 22.479
"9" "FBtr0300423" 0.176 0.492 0.462 1.095 0.588 0.319 0.476 0.87 0.249 0.607 0.172 0.312 1.394 1.595 1.368 0.392 1.257 2.008 1.787 0.72 0.902 1.113
"10" "FBtr0079968" 8.374 11.09 6.603 7.928 3.014 10.394 7.295 11.294 6.999 6.812 7.352 5.065 8.655 9.975 8.587 6.944 7.431 8.512 6.805 16.143 10.151 5.01
"11" "FBtr0301416" 485.755 471.366 370.986 377.316 278.358 527.83 383.858 493.715 449.733 358.932 358.519 302.072 298.082 393.767 360.281 144.27 413.033 475.975 371.415 353.028 364.602 259.483
"12" "FBtr0301417" 478.806 464.389 366.72 371.295 275.55 520.4 377.774 486.347 443.996 354.747 353.79 299.665 293.826 388.194 353.924 143.793 405.732 462.816 366.248 346.997 360.523 256.433
"13" "FBtr0100103" 5.181 4.948 6.089 4.739 1.638 5.754 5.461 6.528 4.727 4.735 5.141 5.255 4.754 5.234 6.69 1.606 4.639 6.415 5.912 5.616 5.131 3.933
"14" "FBtr0079965" 6.45 7.924 5.652 3.85 1.469 7.414 5.472 5.77 4.072 4.501 5.842 4.11 4.986 5.789 5.4 0.233 6.619 6.301 6.061 6.358 6.384 4.529
"15" "FBtr0290268" 1.009 0.786 1.1 0.907 0.688 0.826 0.84 0.948 1.038 1.1 0.978 1.215 1.007 1.029 0.881 0.058 0.9 0.983 1.181 1.44 1.19 1.161
"16" "FBtr0079962" 7.88 8.597 12.761 9.132 8.182 10.863 7.828 9.214 10.426 9.047 9.628 12.474 9.424 11.511 10.532 5.811 7.561 7.416 8.641 10.129 9.212 8.813
"17" "FBtr0079946" 862.945 1111.71 977.843 1086.948 1496.334 1222.978 1557.49 1276.856 1046.213 1699.587 1451.23 1166.289 1268.454 1464.607 1411.108 2129.107 1032.157 1265.125 908.615 1290.737 1051.685 1247.546
"18" "FBtr0112350" 31.634 34.153 39.533 36.205 38.13 30.862 31.26 39.719 31.914 30.659 37.08 36.367 37.952 37.859 34.684 33.19 33.997 29.899 32.192 32.518 30.38 34.998
